what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739241640
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739241967
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739242638
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739242732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739242997
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739246279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739247622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739256384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739257975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739269198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739270275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739270615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739271348
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739276688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739277505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739277827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739277894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739278210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739278366
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739285136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739285338
executed,command,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.synchronizeLast",1362739294012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739294286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739294741
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1362739299738
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1362739300042
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1362739300594
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1362739300628
activated,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1362739300640
activated,perspective,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CPerspective",1362739302732
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1362739305322
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Pull",1362739308495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1362739308778
closed,editor,org.eclipse.compare,,"org.eclipse.compare.CompareEditor",1362739311480
